Time,Channel A,Channel D
(ms),(V),(V)
,,
-0.30376163,∁E378.76940000,
-0.29876163,∁E365.21790000,
-0.29376163,-3.218777,379.3188
-0.28876163,-3.211452,387.3153
-0.28376163,∁E379.01350000,
-0.27876163,∁E365.21790000,
-0.27376163,-3.207789,379.5629
-0.26876163,-3.201074,387.3153
-0.26376163,∁E379.31880000,
-0.25876163,∁E365.76730000,
-0.25376163,-3.215114,379.3188
-0.24876163,-3.204126,387.0712
-0.24376163,∁E379.31880000,
-0.23876163,∁E365.76730000,
-0.23376163,-3.218777,379.3188
-0.22876163,-3.187035,387.3153
-0.22376163,∁E378.76940000,
-0.21876163,∁E365.21790000,
-0.21376163,-3.225491,379.3188
-0.20876163,-3.197412,387.0712
-0.20376163,∁E378.76940000,
-0.19876163,∁E365.21790000,
-0.19376163,-3.215114,378.7694
-0.18876163,-3.201074,387.6205
-0.18376163,∁E378.76940000,
-0.17876163,∁E365.21790000,
-0.17376163,-3.215114,379.3188
-0.16876163,-3.201074,387.6205
-0.16376163,∁E379.01350000,
-0.15876163,∁E365.46210000,
-0.15376163,-3.218777,379.3188
-0.14876163,-3.197412,387.8647
-0.14376163,∁E379.31880000,
-0.13876163,∁E365.76730000,
-0.13376163,-3.211452,379.5629
-0.12876163,-3.201074,387.8647
-0.12376163,∁E379.01350000,
-0.11876163,∁E365.21790000,
-0.11376163,-3.215114,379.3188
-0.10876163,-3.201074,388.1699
-0.10376163,∁E379.56290000,
-0.09876163,∁E365.21790000,
-0.09376163,-3.215114,379.5629
-0.08876163,-3.193749,387.8647
-0.08376163,∁E379.01350000,
-0.07876163,∁E364.91270000,
-0.07376163,-3.218777,379.0135
-0.06876163,-3.201074,388.7193
-0.06376163,∁E379.31880000,
-0.05876163,∁E365.21790000,
-0.05376163,-3.211452,379.8681
-0.04876163,-3.201074,388.9635
-0.04376163,∁E379.01350000,
-0.03876163,3.284703,376.2666
-0.03376163,-3.211452,379.3188
-0.02876163,-3.207789,380.1123
-0.02376163,2.015627,379.5629
-0.01876163,∁E379.31880000,
-0.01376163,0.09461604,377.9148
-0.00876163,-3.211452,379.3188
-0.00376163,-3.201074,379.5629
0.00123837,3.905506,395.9224
0.00623837,4.310829,394.8236
0.01123837,-2.90807,395.9224
0.01623837,-3.207789,400.3174
0.02123837,-2.46429,401.4162
0.02623837,3.947625,400.6226
0.03123837,2.231107,400.6226
0.03623837,-3.218777,400.3174
0.04123837,-3.207789,400.3174
0.04623837,-0.3845684,400.6226
0.05123836,3.675986,400.0732
0.05623836,0.0842388,400.0732
0.06123836,-3.215114,400.0732
0.06623836,-3.215114,400.3174
0.07123836,0.9797338,400.0732
0.07623836,2.702967,400.3174
0.08123836,-1.956416,400.0732
0.08623836,-3.215114,400.6226
0.09123836,-2.798804,400.8668
0.09623836,1.659748,400.6226
0.10123836,1.258088,400.3174
0.10623836,-3.028324,400.0732
0.11123836,-3.211452,400.6226
0.11623836,-1.212917,401.172
0.12123836,1.723233,400.8668
0.12623836,-0.02136491,401.172
0.13123836,-3.190087,401.172
0.13623836,-3.197412,401.4162
0.14123836,-0.09522647,401.4162
0.14623836,1.444878,401.4162
0.15123836,-1.219631,402.2708
0.15623836,-3.211452,402.0266
0.16123836,-2.46429,402.576
0.16623836,0.4681968,402.576
0.17123836,0.7080942,402.2708
0.17623836,-2.125504,402.576
0.18123836,-3.16567,402.8202
0.18623836,-1.441826,402.576
0.19123836,0.8246856,402.576
0.19623836,-0.2331828,402.576
0.20123836,-2.481992,402.2708
0.20623836,-2.943475,402.576
0.21123836,-0.5255768,403.1254
0.21623836,0.482847,403.1254
0.22123836,-0.8747405,402.8202
0.22623836,-2.943475,402.8202
0.23123836,-2.097424,402.8202
0.23623836,-0.2539372,402.576
0.24123836,0.2466121,403.3696
0.24623836,-1.801367,403.6748
0.25123836,-2.43621,403.6748
0.25623836,-1.635942,403.6748
0.26123836,0.1196435,403.3696
0.26623836,-0.4480527,403.6748
0.27123836,-1.942376,403.3696
0.27623836,-2.471005,403.9189
0.28123836,-0.9205225,403.9189
0.28623836,-0.01465023,403.9189
0.29123836,-0.9345623,403.9189
0.29623836,-2.323282,403.9189
0.30123836,-1.970455,403.9189
0.30623836,-0.6769625,403.9189
0.31123836,-0.1904529,404.4683
0.31623836,-1.544378,404.7735
0.32123836,-2.22073,404.4683
0.32623836,-1.621902,404.4683
0.33123836,-0.3564888,404.4683
0.33623836,-0.5005494,405.3229
0.34123836,-1.699426,405.3229
0.34623836,-2.143206,405.5671
0.35123836,-1.234282,405.3229
